,Name,Author,Genre,Price
221,The Amateur,Edward Klein,Non Fiction,9.0
182,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,Non Fiction,9.0
189,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,Fiction,9.0
194,Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,9.0
24,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Non Fiction,9.0
265,The Last Lecture,Randy Pausch,Non Fiction,9.0
201,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,Non Fiction,9.0
276,The Martian,Andy Weir,Fiction,9.0
339,What to Expect When You're Expecting,Heidi Murkoff,Non Fiction,9.0
21,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Non Fiction,9.0
332,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,Non Fiction,9.0
326,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Fiction,9.0
133,If I Stay,Gayle Forman,Fiction,9.0
348,Wonder,R. J. Palacio,Fiction,9.0
317,Thirteen Reasons Why,Jay Asher,Fiction,9.0
277,The Maze Runner (Book 1),James Dashner,Fiction,8.0
278,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,Fiction,8.0
349,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,Fiction,8.0
296,The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,8.0
261,The Hunger Games (Book 1),Suzanne Collins,Fiction,8.0
0,10-Day Green Smoothie Cleanse,JJ Smith,Non Fiction,8.0
350,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Non Fiction,8.0
217,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Non Fiction,8.0
52,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,Fiction,8.0
149,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,Non Fiction,8.0
35,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,Non Fiction,8.0
168,Milk and Honey,Rupi Kaur,Non Fiction,8.0
17,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,Non Fiction,8.0
171,Mockingjay (The Hunger Games),Suzanne Collins,Fiction,8.0
178,"Oh, the Places You'll Go!",Dr. Seuss,Fiction,8.0
44,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,Fiction,8.0
67,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,Fiction,8.0
140,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,8.0
82,Fahrenheit 451,Ray Bradbury,Fiction,8.0
229,The Book with No Pictures,B. J. Novak,Fiction,8.0
70,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,Fiction,8.0
69,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,Fiction,8.0
9,A Man Called Ove: A Novel,Fredrik Backman,Fiction,8.0
85,Fifty Shades Darker,E L James,Fiction,7.0
131,"I, Alex Cross",James Patterson,Fiction,7.0
130,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,Non Fiction,7.0
252,The Great Gatsby,F. Scott Fitzgerald,Fiction,7.0
78,Eclipse (Twilight Sagas),Stephenie Meyer,Fiction,7.0
111,Guts,Raina Telgemeier,Non Fiction,7.0
108,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,7.0
161,Looking for Alaska,John Green,Fiction,7.0
255,The Handmaid's Tale,Margaret Atwood,Fiction,7.0
179,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,Fiction,7.0
302,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,Fiction,7.0
266,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,7.0
264,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,Non Fiction,7.0
258,The Help,Kathryn Stockett,Fiction,6.75
89,Fire and Fury: Inside the Trump White House,Michael Wolff,Non Fiction,6.0
103,Going Rogue: An American Life,Sarah Palin,Non Fiction,6.0
62,Divergent / Insurgent,Veronica Roth,Fiction,6.0
105,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,Non Fiction,6.0
63,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,Non Fiction,6.0
304,The Time Traveler's Wife,Audrey Niffenegger,Fiction,6.0
66,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,Fiction,6.0
71,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Fiction,6.0
16,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,Non Fiction,6.0
200,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,Non Fiction,6.0
146,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,6.0
3,1984 (Signet Classics),George Orwell,Fiction,6.0
148,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,6.0
243,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,6.0
155,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,Non Fiction,6.0
241,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6.0
233,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,Non Fiction,6.0
227,The Book Thief,Markus Zusak,Fiction,6.0
340,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,Non Fiction,6.0
169,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,Non Fiction,6.0
208,Strange Planet (Strange Planet Series),Nathan W. Pyle,Fiction,6.0
15,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,Non Fiction,6.0
204,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,Non Fiction,6.0
46,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,5.0
12,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,Fiction,5.0
327,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,Fiction,5.0
